Dataset,Detector,WindowType,TriggerN,DriftType,Precision,Recall,F1,LatencyDocs,LatencyMs,FAR,D1,D2,R
agnews,padd,sliding,100,sudden,1.0,1.0,1.0,140.0,33318.0,0.0,13.0,353.3333,0.5,0.0
agnews,padd,sliding,100,gradual,1.0,1.0,1.0,166.0,23930.0,0.0,13.0,353.3333,0.5,0.0
agnews,padd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.0,13.0,353.3333,0.5,1.0
agnews,padd,sliding,100,__GLOBAL__,1.0,0.6667,0.8,153.0,28624.0,0.0,13.0,353.3333,0.5,0.3333
agnews,mmd,sliding,100,sudden,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
agnews,mmd,sliding,100,gradual,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
agnews,mmd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
agnews,mmd,sliding,100,__GLOBAL__,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,nan
agnews,padd,sliding,100,sudden,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
agnews,padd,sliding,100,gradual,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
agnews,padd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
agnews,padd,sliding,100,__GLOBAL__,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,nan
agnews,mmd,sliding,100,sudden,0.5,1.0,0.6667,152.0,32300.0,0.000846,0.0,384.6667,0.5,1.0
agnews,mmd,sliding,100,gradual,0.5,1.0,0.6667,46.0,22106.0,0.000846,0.0,384.6667,0.5,1.0
agnews,mmd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.000846,0.0,384.6667,0.5,2.0
agnews,mmd,sliding,100,__GLOBAL__,0.6667,0.6667,0.6667,99.0,27203.0,0.000846,0.0,384.6667,0.5,0.6667
agnews,padd,sliding,100,sudden,1.0,1.0,1.0,152.0,32303.0,0.0,8.5,341.6667,0.5,0.0
