Dataset,Detector,WindowType,TriggerN,DriftType,Precision,Recall,F1,LatencyDocs,LatencyMs,FAR,D1,D2,R
newsgroups,padd,sliding,50,sudden,0.2,1.0,0.3333,21.0,33597.0,0.003454,0.0,388.3333,0.5,4.0
newsgroups,padd,sliding,50,gradual,0.2,1.0,0.3333,35.0,9260.0,0.003454,0.0,388.3333,0.5,4.0
newsgroups,padd,sliding,50,recurring,0.0,0.0,0.0,nan,nan,0.003454,0.0,388.3333,0.5,5.0
newsgroups,padd,sliding,50,__GLOBAL__,0.3333,0.6667,0.4444,28.0,21428.5,0.003454,0.0,388.3333,0.5,1.6667
newsgroups,mmd,sliding,50,sudden,0.5,1.0,0.6667,138.0,34008.0,0.000865,0.0,394.6667,0.5,1.0
newsgroups,mmd,sliding,50,gradual,0.5,1.0,0.6667,16.0,6835.0,0.000865,0.0,394.6667,0.5,1.0
newsgroups,mmd,sliding,50,recurring,0.0,0.0,0.0,nan,nan,0.000865,0.0,394.6667,0.5,2.0
newsgroups,mmd,sliding,50,__GLOBAL__,0.6667,0.6667,0.6667,77.0,20421.5,0.000865,0.0,394.6667,0.5,0.6667
newsgroups,padd,sliding,50,sudden,0.1667,1.0,0.2857,138.0,34011.0,0.004325,0.0,394.6667,0.5,5.0
newsgroups,padd,sliding,50,gradual,0.1667,1.0,0.2857,16.0,6838.0,0.004325,0.0,394.6667,0.5,5.0
newsgroups,padd,sliding,50,recurring,0.0,0.0,0.0,nan,nan,0.004325,0.0,394.6667,0.5,6.0
newsgroups,padd,sliding,50,__GLOBAL__,0.2857,0.6667,0.4,77.0,20424.5,0.004325,0.0,394.6667,0.5,2.0
newsgroups,mmd,sliding,50,sudden,0.25,1.0,0.4,129.0,33919.0,0.002568,0.0,358.3333,0.5,3.0
newsgroups,mmd,sliding,50,gradual,0.25,1.0,0.4,125.0,18156.0,0.002568,0.0,358.3333,0.5,3.0
newsgroups,mmd,sliding,50,recurring,0.0,0.0,0.0,nan,nan,0.002568,0.0,358.3333,0.5,4.0
newsgroups,mmd,sliding,50,__GLOBAL__,0.4,0.6667,0.5,127.0,26037.5,0.002568,0.0,358.3333,0.5,1.3333
newsgroups,padd,sliding,50,sudden,0.2,1.0,0.3333,129.0,33922.0,0.003425,79.5,346.3333,0.5,4.0
newsgroups,padd,sliding,50,gradual,0.2,1.0,0.3333,320.0,46328.0,0.003425,79.5,346.3333,0.5,4.0
newsgroups,padd,sliding,50,recurring,0.0,0.0,0.0,nan,nan,0.003425,79.5,346.3333,0.5,5.0
newsgroups,padd,sliding,50,__GLOBAL__,0.3333,0.6667,0.4444,224.5,40125.0,0.003425,79.5,346.3333,0.5,1.6667
newsgroups,mmd,sliding,50,sudden,0.25,1.0,0.4,48.0,34808.0,0.002639,0.0,375.0,0.5,3.0
newsgroups,mmd,sliding,50,gradual,0.25,1.0,0.4,75.0,14808.0,0.002639,0.0,375.0,0.5,3.0
newsgroups,mmd,sliding,50,recurring,0.0,0.0,0.0,nan,nan,0.002639,0.0,375.0,0.5,4.0
newsgroups,mmd,sliding,50,__GLOBAL__,0.4,0.6667,0.5,61.5,24808.0,0.002639,0.0,375.0,0.5,1.3333
newsgroups,padd,sliding,50,sudden,0.1429,1.0,0.25,48.0,34810.0,0.005277,0.0,375.0,0.5,6.0
newsgroups,padd,sliding,50,gradual,0.1429,1.0,0.25,75.0,14811.0,0.005277,0.0,375.0,0.5,6.0
newsgroups,padd,sliding,50,recurring,0.0,0.0,0.0,nan,nan,0.005277,0.0,375.0,0.5,7.0
newsgroups,padd,sliding,50,__GLOBAL__,0.25,0.6667,0.3636,61.5,24810.5,0.005277,0.0,375.0,0.5,2.3333
newsgroups,mmd,sliding,200,sudden,1.0,1.0,1.0,283.0,35470.0,0.0,14.0,349.3333,0.5,0.0
newsgroups,mmd,sliding,200,gradual,1.0,1.0,1.0,180.0,24459.0,0.0,14.0,349.3333,0.5,0.0
newsgroups,mmd,sliding,200,recurring,0.0,0.0,0.0,nan,nan,0.0,14.0,349.3333,0.5,1.0
newsgroups,mmd,sliding,200,__GLOBAL__,1.0,0.6667,0.8,231.5,29964.5,0.0,14.0,349.3333,0.5,0.3333
newsgroups,padd,sliding,200,sudden,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
newsgroups,padd,sliding,200,gradual,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
newsgroups,padd,sliding,200,recurring,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
newsgroups,padd,sliding,200,__GLOBAL__,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,nan
newsgroups,mmd,sliding,200,sudden,0.5,1.0,0.6667,222.0,35054.0,0.00085,0.0,918.6667,2.0,1.0
