Dataset,Detector,WindowType,TriggerN,DriftType,Precision,Recall,F1,LatencyDocs,LatencyMs,FAR,D1,D2,R
yahoo,mmd,sliding,100,sudden,0.25,1.0,0.4,214.0,31652.0,0.002532,0.0,365.3333,0.5,3.0
yahoo,mmd,sliding,100,gradual,0.25,1.0,0.4,104.0,20137.0,0.002532,0.0,365.3333,0.5,3.0
yahoo,mmd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.002532,0.0,365.3333,0.5,4.0
yahoo,mmd,sliding,100,__GLOBAL__,0.4,0.6667,0.5,159.0,25894.5,0.002532,0.0,365.3333,0.5,1.3333
yahoo,padd,sliding,100,sudden,0.3333,1.0,0.5,214.0,31382.0,0.001688,0.0,365.3333,0.5,2.0
yahoo,padd,sliding,100,gradual,0.3333,1.0,0.5,104.0,20160.0,0.001688,0.0,365.3333,0.5,2.0
yahoo,padd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.001688,0.0,365.3333,0.5,3.0
yahoo,padd,sliding,100,__GLOBAL__,0.5,0.6667,0.5714,159.0,25771.0,0.001688,0.0,365.3333,0.5,1.0
yahoo,mmd,sliding,100,sudden,0.5,1.0,0.6667,155.0,33167.0,0.000846,0.0,385.0,0.5,1.0
yahoo,mmd,sliding,100,gradual,0.5,1.0,0.6667,45.0,7454.0,0.000846,0.0,385.0,0.5,1.0
yahoo,mmd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.000846,0.0,385.0,0.5,2.0
yahoo,mmd,sliding,100,__GLOBAL__,0.6667,0.6667,0.6667,100.0,20310.5,0.000846,0.0,385.0,0.5,0.6667
yahoo,padd,sliding,100,sudden,0.5,1.0,0.6667,155.0,33192.0,0.000846,0.0,385.0,0.5,1.0
yahoo,padd,sliding,100,gradual,0.5,1.0,0.6667,45.0,7475.0,0.000846,0.0,385.0,0.5,1.0
yahoo,padd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.000846,0.0,385.0,0.5,2.0
yahoo,padd,sliding,100,__GLOBAL__,0.6667,0.6667,0.6667,100.0,20333.5,0.000846,0.0,385.0,0.5,0.6667

